timestamp,datetime,open,high,low,close,volume
1731369600000,2024-11-12T00:00:00,222.12,225.21,204.71,211.64,9001990.659
1731456000000,2024-11-13T00:00:00,211.63,220.44,200.67,215.13,10834052.799
1731542400000,2024-11-14T00:00:00,215.14,222.8,206.78,209.57,7458523.708
1731628800000,2024-11-15T00:00:00,209.57,220.5,204.48,218.45,5271091.924
1731715200000,2024-11-16T00:00:00,218.44,221.99,213.35,215.71,4204469.3
1731801600000,2024-11-17T00:00:00,215.72,242.33,212.1,237.47,8433424.204
1731888000000,2024-11-18T00:00:00,237.47,248.44,234.01,239.79,7485850.361
1731974400000,2024-11-19T00:00:00,239.79,247.5,233.4,237.63,5595613.402
1732060800000,2024-11-20T00:00:00,237.64,242.54,230.37,235.48,5472203.476
1732147200000,2024-11-21T00:00:00,235.48,259.8,229.6,256.37,8595939.994
1732233600000,2024-11-22T00:00:00,256.38,264.39,251.47,256.9,5155181.905
1732320000000,2024-11-23T00:00:00,256.9,264.0,252.69,254.89,4836783.227
1732406400000,2024-11-24T00:00:00,254.9,259.78,240.93,252.73,3665245.812
1732492800000,2024-11-25T00:00:00,252.74,256.7,231.21,234.18,4699636.317
1732579200000,2024-11-26T00:00:00,234.18,239.66,221.8,230.69,5012621.456
1732665600000,2024-11-27T00:00:00,230.69,243.33,227.51,241.96,3807284.297
1732752000000,2024-11-28T00:00:00,241.96,245.28,232.8,237.59,2694033.06
1732838400000,2024-11-29T00:00:00,237.58,246.77,236.55,243.33,2890806.079
1732924800000,2024-11-30T00:00:00,243.33,245.4,237.5,237.6,2279256.816
1733011200000,2024-12-01T00:00:00,237.6,239.89,234.1,236.8,2435872.954
1733097600000,2024-12-02T00:00:00,236.79,238.2,220.0,225.72,5868060.275
1733184000000,2024-12-03T00:00:00,225.73,239.6,215.0,233.92,6918604.728
1733270400000,2024-12-04T00:00:00,233.92,241.0,224.67,229.15,4966864.205
1733356800000,2024-12-05T00:00:00,229.15,244.77,222.95,235.84,7391549.993
1733443200000,2024-12-06T00:00:00,235.84,247.0,230.92,236.87,5136553.827
1733529600000,2024-12-07T00:00:00,236.87,243.61,234.12,238.14,2933621.438
1733616000000,2024-12-08T00:00:00,238.14,241.51,233.22,237.02,2222837.551
1733702400000,2024-12-09T00:00:00,237.02,237.28,203.0,216.63,7391583.708
1733788800000,2024-12-10T00:00:00,216.62,221.06,203.21,213.6,7018707.73
1733875200000,2024-12-11T00:00:00,213.6,230.65,211.51,227.29,4688484.808
1733961600000,2024-12-12T00:00:00,227.29,234.69,225.67,226.96,3559104.067
1734048000000,2024-12-13T00:00:00,226.95,228.44,220.6,224.79,2889526.771
