timestamp,datetime,open,high,low,close,volume
1731355200000,2024-11-11T20:00:00,0.5986,0.633,0.5983,0.6207,255998356.0
1731369600000,2024-11-12T00:00:00,0.6208,0.6216,0.5968,0.6059,156767964.0
1731384000000,2024-11-12T04:00:00,0.6059,0.6176,0.597,0.6158,143348693.0
1731398400000,2024-11-12T08:00:00,0.6159,0.6989,0.6062,0.6472,593612230.0
1731412800000,2024-11-12T12:00:00,0.6472,0.7032,0.6252,0.6787,350496272.0
1731427200000,2024-11-12T16:00:00,0.6787,0.7051,0.6628,0.6924,244433291.0
1731441600000,2024-11-12T20:00:00,0.6924,0.7398,0.6918,0.704,288195562.0
1731456000000,2024-11-13T00:00:00,0.7042,0.7407,0.6661,0.667,258322172.0
1731470400000,2024-11-13T04:00:00,0.6671,0.6769,0.64,0.6609,193107715.0
1731484800000,2024-11-13T08:00:00,0.661,0.6774,0.652,0.6765,158521903.0
1731499200000,2024-11-13T12:00:00,0.6766,0.7202,0.664,0.7125,285601081.0
1731513600000,2024-11-13T16:00:00,0.7126,0.748,0.6788,0.6812,217705194.0
1731528000000,2024-11-13T20:00:00,0.681,0.6936,0.6687,0.6898,95287656.0
1731542400000,2024-11-14T00:00:00,0.6897,0.7048,0.6822,0.6969,135534954.0
1731556800000,2024-11-14T04:00:00,0.6968,0.708,0.6829,0.6985,94475630.0
1731571200000,2024-11-14T08:00:00,0.6985,0.722,0.6979,0.718,137991277.0
1731585600000,2024-11-14T12:00:00,0.7179,0.7548,0.7,0.7136,304045402.0
1731600000000,2024-11-14T16:00:00,0.7135,0.8,0.7056,0.7902,294772620.0
1731614400000,2024-11-14T20:00:00,0.7901,0.8473,0.7553,0.7736,382533909.0
1731628800000,2024-11-15T00:00:00,0.7736,0.8312,0.7704,0.8208,209624657.0
1731643200000,2024-11-15T04:00:00,0.8209,0.8398,0.7831,0.7858,185215276.0
1731657600000,2024-11-15T08:00:00,0.7859,0.8342,0.7731,0.8271,152208393.0
1731672000000,2024-11-15T12:00:00,0.827,0.916,0.816,0.8659,487502523.0
1731686400000,2024-11-15T16:00:00,0.866,0.8983,0.8592,0.8979,165837601.0
1731700800000,2024-11-15T20:00:00,0.8979,0.9279,0.8672,0.8922,213042441.0
1731715200000,2024-11-16T00:00:00,0.8921,0.919,0.8778,0.908,119145143.0
1731729600000,2024-11-16T04:00:00,0.9081,0.9842,0.9051,0.972,279762388.0
1731744000000,2024-11-16T08:00:00,0.9719,1.089,0.9607,1.0493,502529850.0
1731758400000,2024-11-16T12:00:00,1.0493,1.2698,1.018,1.1096,844264072.0
1731772800000,2024-11-16T16:00:00,1.1094,1.2133,1.0839,1.1862,380454942.0
1731787200000,2024-11-16T20:00:00,1.1863,1.2025,1.1034,1.1209,246874385.0
1731801600000,2024-11-17T00:00:00,1.1208,1.1603,1.0367,1.0607,275774172.0
1731816000000,2024-11-17T04:00:00,1.0607,1.0899,1.0026,1.0681,321978154.0
1731830400000,2024-11-17T08:00:00,1.0682,1.1018,1.035,1.0366,199592342.0
1731844800000,2024-11-17T12:00:00,1.0365,1.1476,1.0364,1.0839,238485654.0
1731859200000,2024-11-17T16:00:00,1.0839,1.0901,1.0323,1.0352,120239362.0
1731873600000,2024-11-17T20:00:00,1.0353,1.0717,1.0315,1.0543,89744674.0
