timestamp,datetime,open,high,low,close,volume
1731974400000,2024-11-19T00:00:00,89.21,89.61,88.38,89.42,93911.439
1731988800000,2024-11-19T04:00:00,89.42,90.18,87.79,89.32,179625.208
1732003200000,2024-11-19T08:00:00,89.34,90.0,87.09,88.02,236531.478
1732017600000,2024-11-19T12:00:00,88.02,89.03,85.8,87.26,188250.218
1732032000000,2024-11-19T16:00:00,87.25,88.29,86.23,87.35,155479.706
1732046400000,2024-11-19T20:00:00,87.35,87.72,85.07,86.68,148453.122
1732060800000,2024-11-20T00:00:00,86.67,86.75,82.96,85.02,198936.657
1732075200000,2024-11-20T04:00:00,85.0,85.99,84.14,85.5,129341.642
1732089600000,2024-11-20T08:00:00,85.49,87.15,85.07,86.18,137700.965
1732104000000,2024-11-20T12:00:00,86.17,87.83,85.12,86.48,164948.972
1732118400000,2024-11-20T16:00:00,86.47,86.57,82.33,83.42,189270.507
1732132800000,2024-11-20T20:00:00,83.42,84.85,82.78,83.38,67564.587
1732147200000,2024-11-21T00:00:00,83.41,84.95,81.54,84.0,124994.2
1732161600000,2024-11-21T04:00:00,84.0,93.0,84.0,90.1,486059.984
1732176000000,2024-11-21T08:00:00,90.11,90.67,88.1,89.74,276933.946
1732190400000,2024-11-21T12:00:00,89.75,91.17,87.08,88.38,356574.065
1732204800000,2024-11-21T16:00:00,88.4,89.79,87.77,88.7,133004.309
1732219200000,2024-11-21T20:00:00,88.7,89.62,87.96,89.51,78118.358
1732233600000,2024-11-22T00:00:00,89.51,91.23,88.46,90.0,200470.517
1732248000000,2024-11-22T04:00:00,90.0,91.5,89.0,89.22,207317.663
1732262400000,2024-11-22T08:00:00,89.21,92.78,89.15,91.99,177053.117
1732276800000,2024-11-22T12:00:00,91.99,92.6,87.63,89.91,336198.894
1732291200000,2024-11-22T16:00:00,89.92,90.98,89.17,90.84,159810.62
1732305600000,2024-11-22T20:00:00,90.84,92.21,90.21,92.2,150900.635
1732320000000,2024-11-23T00:00:00,92.2,103.44,92.08,101.09,1042990.496
1732334400000,2024-11-23T04:00:00,101.08,104.99,100.06,101.3,499078.809
1732348800000,2024-11-23T08:00:00,101.31,105.0,100.86,103.14,389278.583
1732363200000,2024-11-23T12:00:00,103.16,105.2,101.99,102.89,378874.876
1732377600000,2024-11-23T16:00:00,102.9,106.36,96.86,98.71,612962.661
1732392000000,2024-11-23T20:00:00,98.67,99.85,96.22,99.5,228273.738
1732406400000,2024-11-24T00:00:00,99.5,103.18,99.02,101.83,205073.968
1732420800000,2024-11-24T04:00:00,101.84,102.4,99.3,101.52,155335.621
1732435200000,2024-11-24T08:00:00,101.53,102.06,95.1,95.43,288859.381
1732449600000,2024-11-24T12:00:00,95.44,96.72,91.53,92.33,478899.24
1732464000000,2024-11-24T16:00:00,92.31,96.63,92.08,95.39,148346.748
1732478400000,2024-11-24T20:00:00,95.38,98.15,95.13,96.92,220034.884
1732492800000,2024-11-25T00:00:00,96.92,97.1,93.38,96.47,157246.773
1732507200000,2024-11-25T04:00:00,96.45,97.63,96.08,97.24,118427.785
1732521600000,2024-11-25T08:00:00,97.24,99.23,96.94,97.7,193426.264
1732536000000,2024-11-25T12:00:00,97.7,97.92,92.25,95.89,251759.745
1732550400000,2024-11-25T16:00:00,95.9,96.8,93.47,95.15,161625.595
1732564800000,2024-11-25T20:00:00,95.13,95.97,90.92,92.26,156617.683
1732579200000,2024-11-26T00:00:00,92.23,95.31,91.6,94.06,124509.698
1732593600000,2024-11-26T04:00:00,94.03,94.79,92.58,93.09,64871.627
1732608000000,2024-11-26T08:00:00,93.07,93.15,87.95,90.37,303154.985
1732622400000,2024-11-26T12:00:00,90.34,91.85,89.28,90.45,156375.76
1732636800000,2024-11-26T16:00:00,90.46,92.16,88.88,90.18,117586.771
1732651200000,2024-11-26T20:00:00,90.19,93.23,90.01,92.82,85243.863
1732665600000,2024-11-27T00:00:00,92.82,93.83,91.47,92.66,89888.605
1732680000000,2024-11-27T04:00:00,92.66,95.64,92.44,95.45,117696.165
1732694400000,2024-11-27T08:00:00,95.44,96.06,94.28,94.82,154627.933
1732708800000,2024-11-27T12:00:00,94.82,97.34,93.87,97.25,181990.282
1732723200000,2024-11-27T16:00:00,97.27,97.69,95.71,97.62,119882.993
1732737600000,2024-11-27T20:00:00,97.61,99.0,97.03,97.23,161660.072
1732752000000,2024-11-28T00:00:00,97.25,98.31,95.36,96.56,100634.785
1732766400000,2024-11-28T04:00:00,96.59,97.6,95.76,96.05,62583.694
1732780800000,2024-11-28T08:00:00,96.06,96.54,94.05,94.84,121334.364
1732795200000,2024-11-28T12:00:00,94.82,96.2,93.66,93.91,108485.824
1732809600000,2024-11-28T16:00:00,93.93,95.59,93.91,95.27,66147.79
1732824000000,2024-11-28T20:00:00,95.27,96.26,94.47,95.54,70293.856
1732838400000,2024-11-29T00:00:00,95.54,97.6,95.25,96.47,84249.345
1732852800000,2024-11-29T04:00:00,96.47,96.68,94.72,94.8,87081.367
1732867200000,2024-11-29T08:00:00,94.8,97.35,94.79,97.29,69232.279
1732881600000,2024-11-29T12:00:00,97.31,101.55,96.5,101.47,225503.844
1732896000000,2024-11-29T16:00:00,101.45,102.5,100.17,102.06,183215.771
1732910400000,2024-11-29T20:00:00,102.06,104.8,101.75,104.77,168454.879
1732924800000,2024-11-30T00:00:00,104.76,104.92,100.33,101.04,191385.222
1732939200000,2024-11-30T04:00:00,101.04,102.88,100.76,102.1,119864.93
1732953600000,2024-11-30T08:00:00,102.09,104.82,101.14,101.69,212553.708
1732968000000,2024-11-30T12:00:00,101.69,102.6,100.8,102.03,118050.269
1732982400000,2024-11-30T16:00:00,102.03,103.04,101.7,102.33,92359.454
1732996800000,2024-11-30T20:00:00,102.32,103.3,101.5,102.74,95176.507
1733011200000,2024-12-01T00:00:00,102.75,103.88,99.35,101.29,224033.533
1733025600000,2024-12-01T04:00:00,101.3,101.62,100.08,101.36,70354.098
1733040000000,2024-12-01T08:00:00,101.37,102.29,100.59,101.53,72426.577
1733054400000,2024-12-01T12:00:00,101.52,110.78,100.65,108.7,495707.063
1733068800000,2024-12-01T16:00:00,108.7,109.96,105.49,109.8,249188.871
1733083200000,2024-12-01T20:00:00,109.76,122.25,108.03,119.55,871754.618
1733097600000,2024-12-02T00:00:00,119.57,129.78,119.12,119.84,857073.767
1733112000000,2024-12-02T04:00:00,119.83,124.5,117.48,123.82,457670.093
1733126400000,2024-12-02T08:00:00,123.82,125.09,114.63,117.09,653447.308
1733140800000,2024-12-02T12:00:00,117.05,129.49,116.72,123.16,795957.098
1733155200000,2024-12-02T16:00:00,123.17,133.89,118.1,132.6,877966.346
1733169600000,2024-12-02T20:00:00,132.59,139.74,131.24,132.93,845505.63
1733184000000,2024-12-03T00:00:00,132.93,133.88,128.93,129.95,325597.333
1733198400000,2024-12-03T04:00:00,129.94,133.86,127.96,129.22,307166.6
1733212800000,2024-12-03T08:00:00,129.22,134.58,128.86,134.11,354429.208
1733227200000,2024-12-03T12:00:00,134.1,134.57,121.42,126.59,780214.706
1733241600000,2024-12-03T16:00:00,126.58,130.62,126.1,128.68,381029.506
1733256000000,2024-12-03T20:00:00,128.67,135.16,128.25,130.89,305815.975
1733270400000,2024-12-04T00:00:00,130.9,132.56,127.43,129.29,240262.35
1733284800000,2024-12-04T04:00:00,129.29,132.97,128.36,132.36,188312.818
1733299200000,2024-12-04T08:00:00,132.36,132.79,128.63,129.27,212889.402
1733313600000,2024-12-04T12:00:00,129.26,129.85,125.83,128.56,309025.772
1733328000000,2024-12-04T16:00:00,128.57,128.92,121.9,126.58,305152.315
1733342400000,2024-12-04T20:00:00,126.6,135.7,126.02,133.69,505099.141
1733356800000,2024-12-05T00:00:00,133.69,133.76,124.94,127.76,442190.693
1733371200000,2024-12-05T04:00:00,127.81,129.5,125.44,128.57,230923.325
1733385600000,2024-12-05T08:00:00,128.55,138.27,127.98,137.18,404120.548
1733400000000,2024-12-05T12:00:00,137.18,146.42,134.87,143.79,819244.074
1733414400000,2024-12-05T16:00:00,143.8,147.06,139.06,139.33,367276.392
1733428800000,2024-12-05T20:00:00,139.32,139.61,130.0,135.78,425962.053
1733443200000,2024-12-06T00:00:00,135.79,139.28,134.74,137.35,198456.468
1733457600000,2024-12-06T04:00:00,137.35,138.33,134.85,135.2,124920.804
